crypto_name,open,high,low,close,volume,marketCap,timestamp
Aave,547,547,547,547,547,547,547
Algorand,1010,1010,1010,1010,1010,1010,1010
ApeCoin,80,80,80,80,80,80,80
Aptos,1,1,1,1,1,1,1
Avalanche,559,559,559,559,559,559,559
BNB,1706,1706,1706,1706,1706,1706,1706
Basic Attention Token,1760,1760,1760,1760,1760,1760,1760
Binance USD,919,919,919,919,919,919,919
Bitcoin,3248,3248,3248,3248,3248,3248,3248
Bitcoin Cash,1708,1708,1708,1708,1708,1708,1708
Cardano,1638,1638,1638,1638,1638,1638,1638
Casper,335,335,335,335,335,335,335
Chain,82,82,82,82,82,82,82
Chainlink,1649,1649,1649,1649,1649,1649,1649
Chiliz,1000,1000,1000,1000,1000,1000,1000
Cosmos,1109,1109,1109,1109,1109,1109,1109
Cronos,1199,1199,1199,1199,1199,1199,1199
Dai,857,857,857,857,857,857,857
Decentraland,1652,1652,1652,1652,1652,1652,1652
Dogecoin,3024,3024,3024,3024,3024,3024,3024
EOS,1730,1730,1730,1730,1730,1730,1730
Elrond,575,575,575,575,575,575,575
Ethereum,2424,2424,2424,2424,2424,2424,2424
Ethereum Classic,2072,2072,2072,2072,2072,2072,2072
FTX Token,969,969,969,969,969,969,969
Filecoin,1565,1565,1565,1565,1565,1565,1565
Flow,435,435,435,435,435,435,435
Hedera,922,922,922,922,922,922,922
Huobi Token,1513,1513,1513,1513,1513,1513,1513
Internet Computer,337,337,337,337,337,337,337
Litecoin,3248,3248,3248,3248,3248,3248,3248
Maker,1605,1605,1605,1605,1605,1605,1605
Monero,2866,2866,2866,2866,2866,2866,2866
NEAR Protocol,535,535,535,535,535,535,535
OKB,1062,1062,1062,1062,1062,1062,1062
Polkadot,589,589,589,589,589,589,589
Polygon,1064,1064,1064,1064,1064,1064,1064
Quant,1325,1325,1325,1325,1325,1325,1325
Ravencoin,1478,1478,1478,1478,1478,1478,1478
Shiba Inu,608,608,608,608,608,608,608
Solana,718,718,718,718,718,718,718
Stellar,2791,2791,2791,2791,2791,2791,2791
THORChain,978,978,978,978,978,978,978
TRON,1656,1656,1656,1656,1656,1656,1656
Terra Classic,975,975,975,975,975,975,975
Tether,2582,2582,2582,2582,2582,2582,2582
Tezos,1365,1365,1365,1365,1365,1365,1365
The Sandbox,595,595,595,595,595,595,595
Theta Network,1530,1530,1530,1530,1530,1530,1530
Toncoin,241,241,241,241,241,241,241
UNUS SED LEO,1041,1041,1041,1041,1041,1041,1041
USD Coin,1266,1266,1266,1266,1266,1266,1266
Uniswap,562,562,562,562,562,562,562
VeChain,1332,1332,1332,1332,1332,1332,1332
Wrapped Bitcoin,1152,1152,1152,1152,1152,1152,1152
XRP,3157,3157,3157,3157,3157,3157,3157
