name,mape,mdape,smape,mae,mse,rmse,trained_on_rows
Binance USD,0.001132276455,0.0008534585893,0.001131250651,1.000785213,1.000001196,1.000997748,919
Dai,0.001873525673,0.001861510496,0.001876140972,1.001299625,1.000002704,1.001366769,857
USD Coin,0.003984878251,0.002244376924,0.004001105522,1.002766348,1.00001602,1.003451406,1266
Tether,0.004552259087,0.002424456576,0.004535825486,1.003163326,1.000025357,1.004885499,2582
UNUS SED LEO,0.05956804655,0.05788829569,0.06019115888,1.112503064,1.018518658,1.121883337,1041
Elrond,0.05799068115,0.05962651447,0.06085534931,1.271463609,1.099218561,1.288873612,575
Bitcoin,0.08360569559,0.06111339491,0.08263669215,2.033729301,2.459365494,2.500084676,3248
Wrapped Bitcoin,0.1006711598,0.1040419279,0.09448792495,2.9062669,4.481106141,3.003889812,1152
Internet Computer,0.1021103341,0.09953382349,0.1024076734,1.253526327,1.065640456,1.273355338,337
Bitcoin Cash,0.1385010776,0.1143770089,0.1317563183,2.235921553,2.592292474,2.488527275,1708
Flow,0.1543127374,0.135946113,0.1538792709,1.262453988,1.089111075,1.327877088,435
OKB,0.1823923834,0.1810608388,0.1690148038,1.708159804,1.425307401,1.734958726,1062
Ethereum,0.1916964211,0.1709080066,0.1784438227,3.121022883,8.082982452,3.805631909,2424
Maker,0.1809928539,0.1591290941,0.1995336474,3.435631984,9.257673447,4.08122906,1605
NEAR Protocol,0.2125872933,0.1944088229,0.2051396779,1.632515658,1.418739284,1.761922373,535
Tezos,0.2687930769,0.1936218101,0.2194183834,1.439426299,1.254498868,1.578613468,1365
Ethereum Classic,0.2358772898,0.1791129873,0.2455537772,1.840177443,1.973892105,2.243386814,2072
Chainlink,0.2858899719,0.2369772785,0.25388783,2.212283768,3.055779332,2.681061954,1649
BNB,0.251933797,0.2386183802,0.2681106578,2.938715177,5.838849478,3.3708588,1706
Monero,0.2539195345,0.1887652551,0.2741860639,2.782777935,5.593319662,3.433004665,2866
Litecoin,0.2846175617,0.2551147624,0.2795215655,2.820172758,6.749035653,3.780581444,3248
Toncoin,0.3276879636,0.27711137,0.2834073493,1.380084547,1.19745886,1.513125912,241
Huobi Token,0.3138603542,0.2785182196,0.2870502477,2.065085784,2.254668407,2.336977113,1513
Quant,0.3058407823,0.2828915314,0.3216568293,3.674727428,7.990254749,3.799568673,1325
Solana,0.4559601609,0.3893156504,0.3320831822,7.358379109,724.9906208,9.744480553,718
Polkadot,0.2736011625,0.2738257698,0.3403372065,1.827231053,1.63149208,1.84120357,589
FTX Token,0.5041509087,0.5026524765,0.3867888255,6.222459032,55.97252792,6.267107057,969
Aave,0.4213055852,0.3372339345,0.404390121,9.700207921,23535.63542,20.44208324,547
Polygon,0.7823457917,0.7536339237,0.426641114,1.605196247,1.532060914,1.626264097,1064
Filecoin,0.4548773966,0.3908010592,0.4353269946,4.425634408,15.14965451,4.618964656,1565
THORChain,0.6447187003,0.6362198761,0.4364845908,2.711119979,3.744271981,2.76934428,978
Cosmos,0.5973888337,0.5274252796,0.4415562374,5.973814975,37.26330581,6.345830913,1109
Basic Attention Token,0.4234161358,0.3701833595,0.4623908058,1.158396229,1.040570555,1.198638814,1760
EOS,0.517105369,0.4605933025,0.473696393,1.991448702,1.855858419,2.119368367,1730
The Sandbox,0.8866809236,1.115160585,0.5008284536,2.485336087,4.290969679,2.924266531,595
Uniswap,0.5264358342,0.4613422011,0.5074287808,3.321042665,11.36172952,4.241238412,562
Cronos,0.5703950416,0.5762982592,0.5182525237,1.109903213,1.014387434,1.113177551,1199
Casper,0.3917986146,0.3770219835,0.550138961,1.0145454,1.000302649,1.015835773,335
Avalanche,0.5453153475,0.4300822201,0.5528591578,7.531993956,539.8953106,11.30688376,559
Chiliz,1.197341519,1.181897077,0.6317008778,1.205963971,1.049574141,1.209989971,1000
Shiba Inu,1.411723723,1.673165344,0.6589903232,1.00002202,1.000000001,1.000025595,608
Decentraland,0.5234960808,0.5787772184,0.7095215708,1.166094877,1.048280767,1.220094291,1652
Dogecoin,0.7048085993,0.5616828077,0.7144412392,1.002326235,1.000009696,1.003033503,3024
TRON,0.7859923158,0.8172442302,0.7460256462,1.03099534,1.001549577,1.037694875,1656
Terra Classic,14398.14306,13698.97886,0.7746665494,22.26728636,1642378.327,22.81793664,975
Theta Network,0.7258669299,0.5966588251,0.7821897978,2.364349062,3.133916353,2.616116413,1530
Hedera,1.645575157,1.676353936,0.7845724003,1.20560419,1.048128306,1.224256642,922
XRP,0.7881678155,0.6705726728,0.8291223938,1.219101382,1.079845129,1.307150638,3157
Algorand,2.207964454,2.210473987,0.8622110474,2.733812724,3.583620364,2.747004049,1010
Hedera,2.802279178,2.790004475,0.9136059022,1.400446592,1.156013716,1.403444683,922
VeChain,1.600912201,1.232990064,0.9440699358,1.098451687,1.012126731,1.107946029,1332
Cardano,0.9733121035,0.7496850347,1.080498865,1.423320246,1.279512469,1.580241015,1638
Ravencoin,1.28708614,0.877199486,1.159433712,1.062333327,1.005588978,1.070368268,1478
Stellar,1.259893653,0.8725983016,1.171902326,1.174455558,1.04675571,1.227428231,2791
